ticker,status,current_price,entry,sl,tp,rr,zone_lo,zone_hi,atr,short_float_pct,inst_own_pct,dollar_vol_30d,avg_vol_30d,weekly_bars,days_to_earnings,earnings_known,earnings_blackout,tradingview_url,reason
AJG,PASS,239.47999572753906,222.46314692775155,205.6993523559567,266.8470153808594,2.6476027407174185,220.2762980124795,224.6499958430236,16.763794571794847,2.66,94.44,318270111.72187805,1329005.0,261,41,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:AJG,PASS entry=222.46 SL=205.70 TP=266.85 R:R=2.65 zone=[220.28-224.65] short=2.66% $vol=$318.3M
CTVA,PASS,80.52999877929688,74.4009572101319,68.98564742580491,88.59116713504693,2.620387473674059,73.59849548339844,75.20341893686539,5.415309784326995,2.69,91.11,374844995.8836294,4654724.966666667,261,46,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:CTVA,PASS entry=74.40 SL=68.99 TP=88.59 R:R=2.62 zone=[73.60-75.20] short=2.69% $vol=$374.8M
DASH,PASS,192.94000244140625,186.40499877929688,167.09064156668526,236.74000549316406,2.6060927712883015,181.63999938964844,191.1699981689453,19.314357212611608,4.82,82.54,781278293.1807332,4049332.8666666667,261,47,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:DASH,PASS entry=186.40 SL=167.09 TP=236.74 R:R=2.61 zone=[181.64-191.17] short=4.82% $vol=$781.3M
LFUS,PASS,407.8800048828125,373.6457114693251,341.15074995958867,457.3763481341572,2.5767267531535323,368.66883537758497,378.62258756106513,41.23678683512568,4.9,101.58,85761012.9786621,210260.4,261,40,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:LFUS,PASS entry=373.65 SL=341.15 TP=457.38 R:R=2.58 zone=[368.67-378.62] short=4.90% $vol=$85.8M
UNP,PASS,279.3699951171875,270.29484786733053,255.76663714511815,307.0749771113229,2.5316351715465353,263.62064610339394,276.9690496312671,14.528210722212378,4.68,92.23,650925579.3021607,2329976.7,261,34,True,False,https://www.tradingview.com/chart/?symbol=NYSE:UNP,PASS entry=270.29 SL=255.77 TP=307.07 R:R=2.53 zone=[263.62-276.97] short=4.68% $vol=$650.9M
SSB,PASS,103.44000244140625,99.23878950522743,94.54835469204748,111.0999984741211,2.528807976515121,98.71031951904297,99.76725949141188,4.690434813179953,3.01,89.37,72882660.29618733,704588.7333333333,261,33,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:SSB,PASS entry=99.24 SL=94.55 TP=111.10 R:R=2.53 zone=[98.71-99.77] short=3.01% $vol=$72.9M
WTS,PASS,350.6600036621094,335.05542923749033,312.6850005080619,391.55438232421875,2.5256088638302963,326.77972412109375,343.3311343538869,22.370428729428472,2.92,82.46,68268231.12429097,194684.96666666667,261,40,True,False,https://www.tradingview.com/chart/?symbol=NYSE:WTS,PASS entry=335.06 SL=312.69 TP=391.55 R:R=2.53 zone=[326.78-343.33] short=2.92% $vol=$68.3M
JBL,PASS,299.57000732421875,274.35874521655103,239.07434919583415,363.1000061035156,2.515028479865747,267.47179148746096,281.2456989456411,37.414830413478136,2.92,100.19,307906731.0723775,1027828.9666666667,261,12,True,True,https://www.tradingview.com/chart/?symbol=NASDAQ:JBL,PASS entry=274.36 SL=239.07 TP=363.10 R:R=2.52 zone=[267.47-281.25] short=2.92% $vol=$307.9M | earnings blackout (<14d)
EWBC,PASS,126.91999816894531,121.68389643138678,115.85889800572112,136.1300048828125,2.480019288550253,121.08641478104101,122.28137808173254,5.824998425665671,3.03,93.56,95745942.06402181,754380.2666666667,261,32,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:EWBC,PASS entry=121.68 SL=115.86 TP=136.13 R:R=2.48 zone=[121.09-122.28] short=3.03% $vol=$95.7M
C,PASS,131.77000427246094,122.47005697732405,114.42375961630452,142.33631896972656,2.4689942592284844,120.9995244940137,123.9405894606344,8.046297361019525,1.57,82.71,1163248836.5727417,8827872.8,261,25,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:C,PASS entry=122.47 SL=114.42 TP=142.34 R:R=2.47 zone=[121.00-123.94] short=1.57% $vol=$1163.2M
